priority_rank,customer_id,segment,label,risk_score,dominant_modality,next_best_action,contributing_text,contributing_voice,contributing_txn,text_score,text_label,text_snippet,voice_score,voice_label,transcript_snippet,txn_score,top_txn_features
1,CUST00068,mobile_app_user,1,0.7522,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.325,,2.2393,0.5653457045555115,unauthorised_deduction,"My bank transfer of 5,000 naira did not go through on 17 August, the money left my account but the receiver never got it.",,,,0.7622123050617958,"[[""txn_frequency_change"", 0.7473], [""avg_resolution_delay"", 0.7366], [""app_sessions_change"", 0.2905]]"
2,CUST00358,ussd_user,0,0.7058,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2369,,2.0923,0.5277189016342163,app_downtime,"My bank transfer of 65,000 naira did not go through on 23.",,,,0.7121801538253268,"[[""txn_frequency_change"", 0.842], [""avg_resolution_delay"", 0.5981], [""app_sessions_change"", 0.1899]]"
3,CUST00025,mobile_app_user,1,0.7047,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,0.235,3.0888,,,,0.368688702583313,other,i just want to update my phone number when you are less busy,0.6650705101805082,"[[""txn_frequency_change"", 0.7398], [""avg_resolution_delay"", 0.4311], [""app_sessions_change"", 0.276]]"
4,CUST00746,ussd_user,1,0.6931,txn,Verify and process pending reversal; contact customer to confirm resolution.,1.3048,,1.9636,0.5567207336425781,unauthorised_deduction,"There is a strange debit of 25,000 naira on.",,,,0.6683806568606964,"[[""avg_resolution_delay"", 0.5025], [""app_sessions_change"", 0.4898], [""txn_frequency_change"", 0.3377]]"
5,CUST00548,ussd_user,0,0.6768,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.3644,,1.8288,0.5821512937545776,other,"I tried to send 8,000 naira through the mobile app on.",,,,0.622468185721667,"[[""app_sessions_change"", 0.5669], [""txn_frequency_change"", 0.4543], [""avg_resolution_delay"", 0.3011]]"
6,CUST00342,ussd_user,0,0.6728,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,3.1747,,,,,,,0.6010798863803727,"[[""avg_resolution_delay"", 0.6518], [""txn_frequency_change"", 0.3928], [""failed_transfers_count"", 0.1286]]"
7,CUST00461,mobile_app_user,1,0.6701,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,3.1627,,,,,,,0.5988045626015094,"[[""txn_frequency_change"", 0.7968], [""avg_resolution_delay"", 0.3103], [""app_sessions_change"", 0.0823]]"
8,CUST00760,mobile_app_user,1,0.6689,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,3.1571,,,,,,,0.5977462384723597,"[[""avg_resolution_delay"", 0.5134], [""txn_frequency_change"", 0.4236], [""app_sessions_change"", 0.1623]]"
9,CUST00357,mobile_app_user,1,0.6574,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2631,,1.8428,0.5389096736907959,failed_transaction,"I am still waiting for a refund of 40,000 naira from a failed transaction on 06 August, it has been too long.",,,,0.6272537615074089,"[[""txn_frequency_change"", 0.5061], [""app_sessions_change"", 0.263], [""avg_resolution_delay"", 0.2449]]"
10,CUST00507,mobile_app_user,1,0.6545,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.3316,,1.7614,0.5681259632110596,other,"I could not use my card to pay 65,000 naira online on 30 July, it kept getting declined for no reason.",,,,0.5995477193883205,"[[""app_sessions_change"", 0.5489], [""avg_resolution_delay"", 0.3615], [""txn_frequency_change"", 0.2834]]"
