customer_id,failed_transfers_count,declines_count,txn_frequency_change,app_sessions_change,days_since_last_complaint,avg_resolution_delay
CUST00000,1,1,-0.0359,0.0569,18.9,19.0
CUST00001,0,0,0.2642,-0.0206,42.5,5.5
CUST00002,1,0,-0.0166,0.0432,67.3,13.7
CUST00003,2,1,-0.1348,-0.6566,47.8,73.6
CUST00004,1,0,0.0997,0.0342,49.3,8.6
CUST00005,0,0,0.0981,0.0647,77.5,11.2
CUST00006,5,2,-0.2148,-0.2725,3.7,38.2
CUST00007,0,0,0.1335,0.0557,2.8,2.5
CUST00008,2,4,-0.4019,-0.4031,5.5,66.9
CUST00009,0,0,0.063,0.1183,80.6,2.5
CUST00010,0,0,0.0459,-0.0455,18.2,8.4
CUST00011,1,1,0.2151,0.1924,34.3,8.9
CUST00012,0,0,0.0591,0.0844,6.4,11.6
CUST00013,3,3,-0.2436,-0.2847,3.9,72.0
CUST00014,0,1,-0.1647,0.0037,148.5,7.8
CUST00015,0,1,0.0255,0.0977,18.1,9.0
CUST00016,1,0,0.3314,0.2293,19.6,15.1
CUST00017,2,0,0.0208,0.0097,69.9,13.2
CUST00018,0,0,-0.1034,0.1064,71.7,11.5
CUST00019,0,0,-0.0678,0.0982,186.4,12.6
CUST00020,2,1,-0.1067,-0.1982,11.2,76.7
CUST00021,0,0,-0.0071,0.1014,8.0,13.9
CUST00022,5,5,0.0691,-0.361,1.7,105.3
CUST00023,4,1,-0.2593,-0.168,8.6,81.7
CUST00024,0,0,-0.579,-0.5793,3.2,18.7
CUST00025,1,4,-0.5021,-0.4976,13.4,87.7
CUST00026,1,2,-0.2158,-0.3578,14.0,78.0
CUST00027,0,0,0.2577,0.0269,1.7,20.6
CUST00028,0,0,0.0207,0.2137,4.6,4.3
CUST00029,6,1,-0.1802,-0.1029,0.9,63.7
CUST00030,2,4,-0.2102,-0.6322,9.2,72.2
CUST00031,2,3,-0.4212,-0.4097,0.4,35.6
CUST00032,0,0,0.1207,0.0863,48.7,16.5
CUST00033,0,0,0.0429,0.0534,9.6,5.9
CUST00034,0,0,0.0247,0.0563,115.4,2.7
CUST00035,2,0,-0.1152,-0.1081,235.7,7.8
CUST00036,2,1,-0.4351,-0.2729,5.5,79.8
CUST00037,0,0,0.0088,0.1563,10.0,0.0
CUST00038,1,0,0.0358,0.0815,202.4,13.3
CUST00039,0,0,0.0677,0.1413,16.2,0.0
CUST00040,0,0,-0.0817,0.1036,10.3,31.1
CUST00041,3,4,-0.6178,-0.4853,1.0,19.0
CUST00042,2,0,-0.1748,-0.527,0.0,65.4
CUST00043,1,0,0.1267,-0.094,126.1,15.6
CUST00044,4,0,-0.1404,0.0395,0.6,61.8
CUST00045,1,0,0.1135,0.094,13.2,14.7
CUST00046,4,0,-0.0104,-0.1412,3.1,75.5
CUST00047,0,0,-0.1287,0.0077,64.8,20.5
CUST00048,3,3,-0.2333,-0.4004,5.9,76.0
CUST00049,6,0,-0.337,-0.4706,6.4,62.8
CUST00050,3,3,-0.2753,-0.2643,2.0,77.4
CUST00051,0,0,-0.0085,0.0153,0.4,3.9
CUST00052,6,2,-0.5356,-0.4866,11.8,61.0
CUST00053,3,2,-0.4716,-0.306,17.7,53.5
CUST00054,0,0,0.0182,-0.0667,153.0,7.4
CUST00055,1,1,0.109,-0.0951,25.2,19.5
CUST00056,1,0,0.0978,-0.0962,7.4,23.0
CUST00057,0,0,0.0535,-0.0083,31.6,13.8
CUST00058,0,0,0.0874,0.0832,43.4,14.6
CUST00059,1,0,0.1267,0.0321,147.5,18.6
CUST00060,0,0,0.1256,0.0579,30.6,23.5
CUST00061,1,0,-0.1608,-0.0164,59.3,12.3
CUST00062,4,6,-0.2636,0.169,6.5,102.4
CUST00063,2,3,-0.3095,-0.5429,5.4,35.0
CUST00064,4,3,-0.2529,-0.4512,0.4,80.9
CUST00065,0,1,-0.0295,0.1504,58.3,23.9
CUST00066,0,0,0.0503,-0.055,104.8,10.5
CUST00067,1,3,-0.2794,0.0238,20.3,26.0
CUST00068,6,2,-0.5061,-0.517,7.9,124.1
CUST00069,1,0,0.0649,0.0566,63.8,1.4
CUST00070,0,1,0.1508,-0.0057,4.0,27.5
CUST00071,0,0,-0.0151,-0.0474,28.8,5.0
CUST00072,0,0,0.1825,0.0156,100.2,15.3
CUST00073,1,0,-0.1785,0.0287,76.2,5.7
CUST00074,0,0,0.1467,0.1717,62.0,14.4
CUST00075,1,0,0.0053,0.015,23.9,5.3
CUST00076,0,0,0.212,0.0564,2.2,21.5
CUST00077,0,0,0.0061,-0.0195,47.6,14.1
CUST00078,3,1,-0.3813,-0.2392,8.1,110.4
CUST00079,2,1,-0.4412,-0.1447,3.8,79.1
CUST00080,1,3,-0.1957,-0.5784,2.8,85.9
CUST00081,1,1,-0.1015,0.1029,48.5,0.0
CUST00082,1,4,-0.2107,-0.6942,30.0,83.3
CUST00083,0,0,0.0756,0.0852,52.0,16.1
CUST00084,0,0,0.0681,-0.0711,50.1,19.4
CUST00085,0,0,-0.2456,-0.1047,52.3,6.7
CUST00086,7,4,-0.1317,-0.3119,15.5,40.1
CUST00087,2,3,-0.1634,-0.4819,3.3,39.8
CUST00088,1,1,0.1825,0.053,16.7,16.0
CUST00089,1,0,-0.1435,-0.1068,283.3,10.1
CUST00090,0,0,0.1481,-0.0965,13.3,4.3
CUST00091,0,0,-0.1067,-0.0524,220.6,9.1
CUST00092,1,0,-0.0135,-0.0963,29.2,17.8
CUST00093,0,1,0.0381,-0.1421,58.1,19.5
CUST00094,0,0,0.0739,0.1778,62.2,11.6
CUST00095,0,0,0.0457,0.0279,79.7,16.3
CUST00096,2,0,0.1578,-0.102,49.8,13.2
CUST00097,1,0,0.1148,-0.1292,37.4,11.0
CUST00098,7,2,-0.3848,-0.3379,7.4,73.0
CUST00099,1,2,-0.3012,-0.1454,1.0,35.4
CUST00100,2,1,0.2403,-0.0253,77.1,20.2
CUST00101,3,0,-0.4897,-0.4525,17.7,94.8
CUST00102,0,0,-0.0868,0.001,76.3,12.9
CUST00103,3,3,-0.1857,0.022,6.9,47.3
CUST00104,4,4,-0.482,-0.2779,7.8,102.2
CUST00105,3,1,-0.3645,-0.4086,9.3,79.7
CUST00106,0,0,0.067,-0.0262,107.0,9.9
CUST00107,5,3,-0.0583,-0.5001,4.0,70.2
CUST00108,1,0,-0.3838,-0.3537,13.9,78.7
CUST00109,1,0,0.1372,-0.0362,27.4,2.4
CUST00110,0,0,0.0601,-0.1808,44.6,3.5
CUST00111,0,0,0.005,-0.0876,128.1,20.6
CUST00112,4,1,-0.126,-0.7043,4.7,68.8
CUST00113,1,1,-0.0662,-0.0477,140.3,1.8
CUST00114,3,5,-0.3679,-0.2871,2.7,64.0
CUST00115,3,0,-0.0437,-0.2223,0.9,57.7
CUST00116,2,0,0.0588,0.0592,10.0,11.3
CUST00117,0,1,-0.0611,0.1389,19.9,1.9
CUST00118,0,1,-0.029,0.033,25.5,1.3
CUST00119,0,0,0.0037,0.1197,248.8,14.4
CUST00120,0,0,0.1659,0.3057,120.5,12.4
CUST00121,0,0,0.0327,0.1165,3.1,16.2
CUST00122,1,4,-0.3502,-0.4459,24.1,74.3
CUST00123,2,0,0.1272,-0.008,68.1,23.2
CUST00124,0,0,0.0563,0.0308,19.1,18.2
CUST00125,0,2,-0.0299,-0.0152,8.6,18.8
